A4109,General,4433,4960,2012
A4111,General,2971,4233,2012
A4125,General,3109,4475,2012
B4101,General,910,1719,2012
B4107,General,354,1107,2012
B4109,General,701,1609,2012
B4110,General,2,75,2012
B4111,General,6,91,2012
B4117,General,95,987,2012
B4125,General,92,456,2012
B4128,General,1516,2138,2012
B5210,General,1111,1453,2012
B5219,General,226,395,2012
B5221,General,97,264,2012
B5226,General,516,1592,2012
B5229,General,1070,1472,2012
B5234,General,451,624,2012
B5235,General,533,698,2012
B5244,General,2172,2626,2012
B5245,General,2572,2823,2012
B5503,General,1995,4332,2012
C4110,General,3260,4249,2012
C4111,General,3872,4618,2012
C4125,General,4135,4758,2012
D4107,General,635,1244,2012
D4109,General,360,1795,2012
D4110,General,1,130,2012
D4111,General,42,270,2012
D4112,General,437,820,2012
D4117,General,1010,2184,2012
D4125,General,176,630,2012
D4136,General,900,1568,2012
D4139,General,1897,3707,2012
D5205,General,1963,3754,2012
D5210,General,1388,1845,2012
D5216,General,137,271,2012
D5220,General,285,440,2012
D5305,General,326,876,2012
E4110,General,2318,3414,2012
E4111,General,3032,3982,2012
E4125,General,3245,4174,2012
G4101,General,2004,2598,2012
G4102,General,3806,5095,2012
G4105,General,3215,4627,2012
G4107,General,1183,2247,2012
G4109,General,1522,2503,2012
G4110,General,241,429,2012
G4111,General,510,921,2012
G4115,General,333,729,2012
G4120,General,2213,2999,2012
G4121,General,1193,1823,2012
G4122,General,2102,2917,2012
G4125,General,748,1098,2012
G4127,General,2722,3617,2012
G4130,General,3650,4555,2012
G4133,General,3154,4139,2012
G5101,General,3828,7069,2012
G5201,General,2649,2913,2012
G5203,General,5271,6008,2012
G5208,General,3906,5375,2012
G5210,General,2258,2843,2012
G5215,General,2671,3000,2012
G5216,General,444,699,2012
G5222,General,926,1168,2012
G5225,General,723,1084,2012
G5230,General,3020,3513,2012
G5231,General,3077,3534,2012
G5239,General,1116,1494,2012
G5243,General,3122,3955,2012
G5247,General,4559,4872,2012
G5248,General,4879,5640,2012
G5251,General,4037,4484,2012
G5253,General,2748,3653,2012
G5501,General,5159,6199,2012
G5503,General,5157,6437,2012
G5504,General,3880,4703,2012
G5505,General,3722,5661,2012
G5506,General,1597,3380,2012
G5507,General,3036,4930,2012
H4107,General,3520,4151,2012
H4109,General,3061,3827,2012
H4110,General,1385,2162,2012
H4111,General,1912,2613,2012
H4118,General,2819,4075,2012
H4125,General,1976,2881,2012
J4110,General,3159,3845,2012
J4111,General,3678,4436,2012
J4125,General,2989,4680,2012
J4138,General,4187,6214,2012
K4101,General,1022,2327,2012
K4103,General,1547,4361,2012
K4107,General,1197,1951,2012
K4109,General,544,2312,2012
K4110,General,98,280,2012
K4111,General,293,590,2012
K4123,General,2286,3507,2012
K4125,General,405,891,2012
K4201,General,3502,5850,2012
K4202,General,1865,3999,2012
K4203,General,1203,2781,2012
K4204,General,1917,3377,2012
M4101,General,1307,2195,2012
M4107,General,1016,2101,2012
M4109,General,1103,2255,2012
M4110,General,103,240,2012
M4111,General,100,539,2012
M4117,General,841,1908,2012
M4125,General,193,894,2012
M4127,General,1709,3310,2012
M4132,General,2418,3778,2012
M5201,General,2273,2583,2012
M5202,General,1703,2578,2012
M5207,General,1512,4947,2012
M5210,General,2133,2571,2012
M5212,General,2678,2815,2012
M5213,General,2175,2769,2012
M5215,General,2896,2972,2012
M5216,General,291,548,2012
M5217,General,548,982,2012
M5218,General,1001,1122,2012
M5227,General,1394,2814,2012
M5228,General,3014,3424,2012
M5236,General,1187,1350,2012
M5237,General,904,1176,2012
M5238,General,924,1208,2012
M5241,General,3547,3915,2012
M5249,General,3791,4055,2012
M5250,General,3794,4184,2012
M5601,General,2445,6894,2012
M5602,General,2080,3376,2012
N4107,General,3408,4485,2012
N4111,General,2425,3320,2012
N4125,General,2262,3541,2012
P4110,General,3008,4409,2012
P4111,General,4022,4735,2012
P4125,General,4442,4863,2012
R4104,General,4209,5378,2012
R4107,General,1804,2939,2012
R4109,General,1776,2761,2012
R4110,General,432,961,2012
R4111,General,1033,1681,2012
R4114,General,967,1293,2012
R4125,General,984,1763,2012
R4127,General,2966,4440,2012
R4135,General,4515,5930,2012
R4136,General,2002,3357,2012
R4137,General,5066,6832,2012
R5101,General,3863,7197,2012
R5211,General,3034,3390,2012
R5214,General,2448,3011,2012
R5223,General,1734,1914,2012
R5224,General,1369,1783,2012
R5242,General,4507,4825,2012
R5302,General,4383,5842,2012
R5303,General,3954,5216,2012
R5403,General,4413,6041,2012
R5502,General,3399,5340,2012
R5503,General,5485,6547,2012
R5507,General,4574,6002,2012
S4107,General,4775,6016,2012
S4110,General,2288,5093,2012
S4111,General,3023,5720,2012
S4114,General,3546,5744,2012
S4119,General,6479,6961,2012
S4125,General,3854,5667,2012
S4129,General,6377,6893,2012
S4130,General,5012,6665,2012
S4131,General,5823,6789,2012
S4134,General,2818,5616,2012
S5246,General,6742,6956,2012
S5247,General,5882,6705,2012
S5252,General,5040,6003,2012
S5305,General,5134,6381,2012
S5401,General,6529,6986,2012
S5402,General,6334,6932,2012
S5701,General,6093,7024,2012
S5702,General,6403,7018,2012
U4110,General,1938,2886,2012
U4111,General,2910,3862,2012
U4125,General,3396,4309,2012
V4106,General,5121,6411,2012
V4107,General,3024,4258,2012
V4109,General,2993,3636,2012
V4110,General,1085,1849,2012
V4111,General,1789,2799,2012
V4113,General,1791,2684,2012
V4125,General,1818,2959,2012
V4126,General,4192,5075,2012
V4130,General,4516,6406,2012
V4301,General,6964,7119,2012
V5204,General,5802,6419,2012
V5206,General,5007,6563,2012
V5209,General,6042,6795,2012
V5214,General,3185,3831,2012
V5216,General,1855,2136,2012
V5223,General,2156,3025,2012
V5232,General,4808,5533,2012
V5233,General,2962,3157,2012
V5240,General,5089,5391,2012
V5247,General,5954,6673,2012
V5301,General,3717,4690,2012
V5304,General,6038,6614,2012
V5305,General,3045,3411,2012
V5801,General,6917,7116,2012
W4104,General,4476,5834,2012
W4107,General,2975,3629,2012
W4108,General,2397,4342,2012
W4109,General,2845,3545,2012
W4110,General,775,1367,2012
W4114,General,1392,1973,2012
W4116,General,1461,2131,2012
W4117,General,2224,4042,2012
W4124,General,1770,3048,2012
W4125,General,1504,2498,2012
W4401,General,4271,5446,2012
A4109,OBC,1690,2088,2012
A4111,OBC,1234,1751,2012
A4125,OBC,1384,1786,2012
